variable,variable_short,variable_name,description,table,data_type,statistical_type,allowed_range,allowed_values,normal_range,normal_values,units,category,mapping,worse_direction,variable_level,info,NSCLC,PCa
albumin,albumin,Albumin,Albumin blood (serum) test in units of g/L. Part of a Comprehensive Metabolic Panel (CMP). Measure liver function (albumin is a liver protein).,"[""longitudinal"", ""baseline""]",float64,continuous,"[10.0, 80.0]",[],"[35.0, 54.0]",[],g/L,labs,,outer,,,,1
alanine_aminotransferase,alanine_aminotransferase,Alanine Aminotransferase (ALT),Alanine aminotransferase (ALT) blood (serum) test in units of U/L. Part of a Comprehensive Metabolic Panel (CMP). Measures liver function. Injury to the liver results in release of ALT into the blood.,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 1000.0]",[],"[4.0, 60.0]",[],U/L,labs,,high,,,,1
alkaline_phosphatase,alkaline_phosphatase,Alkaline Phosphatase (ALP),Alkaline phosphatase blood test in units of U/L. Part of a Comprehensive Metabolic Panel (CMP). Measures liver function. Abnormal ALP values can also indicate liver or bone diseases.,"[""longitudinal"", ""baseline""]",float64,continuous,"[15.0, 2000.0]",[],"[36.0, 150.0]",[],U/L,labs,,outer,,,,1
aspartate_aminotransferase,ast,Aspartate Aminotransferase (AST),Aspartate aminotransferase blood test in units of U/L. Part of a Comprehensive Metabolic Panel (CMP). Measures liver function.,"[""longitudinal"", ""baseline""]",float64,continuous,"[1.0, 1000.0]",[],"[4.0, 60.0]",[],U/L,labs,,outer,,,,1
bicarbonate,bicarbonate,Bicarbonate,"Bicarbonate lab test in mmol/L. Bicarbonate can reflect acid-base balance, kidney function, and respiratory function.",[],float64,continuous,"[10.0, 50.0]",[],"[22.0, 29.0]",[],mmol/L,labs,,outer,,,,1
blood_urea_nitrogen,blood_urea_nitrogen,Blood Urea Nitrogen (BUN),"Blood urea nitrogen (BUN) blood (serum) test. Part of a Comprehensive Metabolic Panel (CMP).  Measures kidney function (waste products). Urea is produced when protein is broken down in the body, and it is eliminated through the urine by the kidneys.","[""longitudinal"", ""baseline""]",float64,continuous,"[0.1, 50.0]",[],"[2.5, 8.0]",[],mg/dL,labs,,outer,,,,1
c_reactive_protein,c_reactive_protein,C Reactive Protein,C-reactive protein blood test in units of mg/dL. C-reactive protein is a marker of inflammation.,[],float64,continuous,"[0.0, 150.0]",[],"[14.0, 40.0]",[],mg/dL,labs,,high,,,,1
hs_c_reactive_protein,hs_c_reactive_protein,High-sensitivity C-reactive Protein (hsCRP),"High-sensitivity CRP (hs-CRP) has enabled accurate assays at even low levels. Because of the individual variability in hs-CRP, two separate measurements are required to classify a person’s risk level. In patients with stable coronary disease or acute coronary syndromes, hs-CRP measurement may be useful as an independent marker for assessing the likelihood of harmful events, including death, myocardial infarction, or restenosis after percutaneous coronary intervention.",[],float64,continuous,"[0.0, 20.0]",[],"[0.0, 3.0]",[],mg/L,labs,,high,,,,1
apo_b,apo_b,Apolipoprotein B (Apo B),"Apolipoprotein B (Apo B) blood test in mg/dL, where values greater than 120 mg/dL for women and 125 mg/dL for men indicate higher risk of heart and blood vessel disease.",[],float64,continuous,"[20.0, 400.0]",[],"[45.0, 125.0]",[],mg/dL,labs,,outer,,,,1
apo_a1,apo_a1,Apolipoprotein A1 (Apo A1),"Apolipoprotein A1 (Apo A1) blood test in mg/dL, where values less than 80 mg/dL for women and 75 mg/dL for men indicate higher risk of heart and blood vessel disease.",[],float64,continuous,"[10.0, 500.0]",[],"[75.0, 175.0]",[],mg/dL,labs,,outer,,,,1
carbon_dioxide,carbon_dioxide,Carbon Dioxide,Carbon dioxide blood test in units of mmol/L. Part of a Comprehensive Metabolic Panel (CMP). Measures electrolytes influencing fluid retention and acid balance.,[],float64,continuous,"[10.0, 40.0]",[],"[23.0, 29.0]",[],mmol/L,labs,,outer,,,,1
total_cholesterol,total_cholesterol,Total cholesterol,Fasting total cholesterol blood test in units of mg/dL.,[],float64,continuous,"[50.0, 600.0]",[],"[150.0, 199.0]",[],mg/dL,labs,,outer,,,,1
cholesterol_hdl,cholesterol_hdl,HDL Cholesterol,Fasting High-density lipoprotein (HDL) cholesterol blood test in units of mg/dL.,[],float64,continuous,"[10.0, 160.0]",[],"[40.0, 160.0]",[],mg/dL,labs,,low,,,,1
cholesterol_ldl,cholesterol_ldl,LDL Cholesterol,Fasting low-density lipoprotein (LDL) cholesterol blood test in units of mg/dL.,[],float64,continuous,"[20.0, 260.0]",[],"[0.0 , 100.0]",[],mg/dL,labs,,high,,,,1
cholesterol_vldl,cholesterol_vldl,VLDL cholesterol,Fasting very low density lipoprotein (VLDL) cholesterol blood test in units of mg/dL.,[],float64,continuous,"[0.0, 200.0]",[],"[2.0, 30.0]",[],mg/dL,labs,,outer,,,,1
cholesterol_non_hdl,cholesterol_non_hdl,Non-high-density Lipoprotein Cholesterol (Non-HDL),Fasting non-high-density lipoprotein (non-HDL) cholesterol blood test in units of mg/dL.,[],float64,continuous,"[10.0, 600.0]",[],"[0.0, 130.0]",[],mg/dL,labs,,high,,,,1
cholesterol_tc_hdl_ratio,cholesterol_tc_hdl_ratio,TC/HDL ratio,The ratio of total cholesterol divided by high-density lipoprotein cholesteroal from blood test.,[],float64,continuous,"[1.0, 10.0]",[],"[2.0, 4.5]",[],,labs,,high,,,,1
triglycerides,triglycerides,Triglycerides,Fasting triglycerides blood test in units of mg/dL.,[],float64,continuous,"[20.0, 3000.0]",[],"[20.0, 150.0]",[],mg/dL,labs,,high,,,,1
troponin,troponin,Troponin I or troponin T (unspecified),Troponin I or troponin T (use this variable when the study did not distinguish I versus T).,[],float64,continuous,"[0.0, 10.0]",[],"[0.0, 0.04]",[],ng/mL,labs,,high,,Dense fill with troponin_i and troponin_t,,1
troponin_i,troponin_i,Troponin I,Troponin I is an enzyme found almost exclusively in heart muscle.,[],float64,continuous,"[0.0, 10.0]",[],"[0.0, 0.04]",[],ng/mL,labs,,high,,,,1
troponin_t,troponin_t,Troponin T,Troponin T is expressed in skeletal and cardiac myocytes.,[],float64,continuous,"[0.0, 10.0]",[],"[0.0, 0.01]",[],ng/mL,labs,,high,,,,1
hs_troponin_t,hs_troponin_t,High sensitivity Troponin T,"hsTnT assays detect concentrations of troponins at much lower concentrations, thereby detecting infarction earlier in the process (as early as 90 minutes).",[],float64,continuous,"[0.0, 2000.0]",[],"[0.0, 22.0]",[],ng/L,labs,,high,,,,1
creatine_kinase,creatine_kinase,Creatine Kinase-MB,Creatine kinase-MB blood test in units of U/L. CK-MB blood test for the assessment of acute myocardial infarction (AMI) has largely been replaced by troponins.,[],float64,continuous,"[0.5, 2000.0]",[],"[20.0, 200.0]",[],U/L,labs,,outer,,,,1
creatinine,creatinine,Creatinine,Creatinine blood (serum) test in units of mg/dL. Part of a Comprehensive Metabolic Panel (CMP). Measures kidney function (waste products).,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 10.0]",[],"[0.5, 1.2]",[],mg/dL,labs,,high,,,,1
egfr,egfr,Estimated Glomerular Filtration Rate (eGFR),Estimated Glomerular Filtration Rate (eGFR). Measures kidney/renal function.,[],float64,continuous,"[5.0, 150.0]",[],"[60.0, 150.0]",[],mL/min/1.73m^2,labs,,low,,,,1
red_blood_cell_count,red_blood_cell_count,Red Blood Cell Count,Red blood cell count in millions per microliter. Part of the Complete Blood Count (CBC) test. Red blood cells  carry oxygen from your lungs to the rest of your body.,"[""longitudinal"", ""baseline""]",float64,continuous,"[1.0, 9.0]",[],"[4.2, 6.1]",[],10^6 cells/uL,labs,,outer,,,,1
platelet,platelet,Platelet,Platelets blood test in units of giga/L. Part of the Complete Blood Count (CBC) test. The platelet count is a count of the number of platelets (thrombocytes) per cubic milliliter of blood. ,"[""longitudinal"", ""baseline""]",float64,continuous,"[10.0, 2000.0]",[],"[150.0, 400.0]",[],giga/L,labs,,outer,,,,1
hematocrit,hematocrit,Hematocrit,Hematocrit (Hct) blood test in units of %. Part of the Complete Blood Count (CBC) test. Hematocrit is a measurement of how much of your blood is made up of red blood cells.,"[""longitudinal"", ""baseline""]",float64,continuous,"[10.0, 70.0]",[],"[36.0, 54.0]",[],%,labs,,outer,,,,1
white_blood_cell_count,white_blood_cell_count,White Blood Cell Count,White blood cell count in units of giga/L. Part of the Complete Blood Count (CBC) test. White blood cells fight infections and other diseases. There are five major types of white blood cells. A CBC test measures the total number of white cells in your blood.,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.5, 400.0]",[],"[4.5, 11.0]",[],giga/L,labs,,outer,,,,1
neutrophils,neutrophils,Neutrophils,"Part of CBC with differential test. Neutrophils are the most common type of white blood cell. They are your body's main defense against infection when bacteria, viruses, or other germs enter your body.","[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 100.0]",[],"[2.0, 8.5]",[],giga/L,labs,,outer,,,,1
neutrophil_percentage,neutrophil_percentage,Neutrophil Percentage,Neutrophils lab test in units of % of leukocytes.,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 100.0]",[],"[40.0, 70.0]",[],%,labs,,outer,,,,1
eosinophils,eosinophils,Eosinophils,Part of CBC with differential test. Eosinophils defend against parasites and infections. They are also involved in allergies and help control inflammation (swelling and redness).,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 20.0]",[],"[0.05, 0.55]",[],giga/L,labs,,high,,,,1
eosinophil_percentage,eosinophil_percentage,Eosinophil Percentage,Eosinophils lab test in units of % of leukocytes,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 60.0]",[],"[1.0, 4.0]",[],%,labs,,high,,,,1
basophils,basophils,Basophils,Part of CBC with differential test. Basophils help fight bacteria and parasitic infection.  They also release enzymes during allergic reactions and asthma attacks.,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 1.0]",[],"[0.01, 0.2]",[],gigal/L,labs,,high,,,,1
basophil_percentage,basophil_percentage,Basophil Percentage,The value of the basophils lab test in units of % of leukocytes.,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 5.0]",[],"[0.5, 1.0]",[],%,labs,,outer,,,,1
monocytes,monocytes,Monocytes,"Part of CBC with differential test. Monocytes kill bacteria, viruses, and other germs that may make you sick. They also boost your body's immune response and clear away dead cells.","[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 10.0]",[],"[0.2, 0.8]",[],giga/L,labs,,outer,,,,1
monocyte_percentage,monocyte_percentage,Monocyte Percentage,Monocytes lab test in units of % of leukocytes.,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 20.0]",[],"[2.0, 8.0]",[],%,labs,,outer,,,,1
lymphocytes,lymphocytes,Lymphocytes,"Part of CBC with differential test. Lymphocytes include two main types of white blood cells: B cells and T cells. B cells fight off invading viruses, bacteria, or toxins. Certain T cells can target and destroy your body's own cells, such as cancer cells and cells that have been infected by viruses.","[""longitudinal"", ""baseline""]",float64,continuous,"[0.0, 100.0]",[],"[1.0, 4.8]",[],giga/L,labs,,outer,,,,1
lymphocyte_percentage,lymphocyte_percentage,Lymphocyte Percentage,Lymphocytes lab test in units of % of leukocytes.,"[""longitudinal"", ""baseline""]",float64,continuous,"[1.0, 80.0]",[],"[25.0, 33.0]",[],%,labs,,outer,,,,1
glucose,glucose,Glucose (unspecified),Glucose blood test in units of mg/dL. Part of a Comprehensive Metabolic Panel (CMP). This variable contains glocuse levels measured w/o fasting (aka. when it's hard to dinstinguish from the protocol whether participants fasting or not).,"[""longitudinal"", ""baseline""]",float64,continuous,"[1.0, 500.0]",[],"[3.9, 5.8]",[],mg/dL,labs,,outer,,,,1
category_glucose,category_glucose,Category Baseline Glucose,"Stage of elevated glucose or HbA1c lab values at baseline. Indicative of normal, prediabetes, or diabetes.",[],int,categorical,[],"[1,2,3]",[],[1],,cohort,"{""1"": ""normal"", ""2"": ""prediabetes"", ""3"": ""diabetes""}",high,,Stages of elevated glucose based on these guidelines. ,,1
fasting_blood_glucose,fasting_blood_glucose,Fasting Blood Glucose (plasma and capillary) ,Fasting blood glucose (FPG) test in units of mg/dL. Measures blood glucose after at least 8 hours without eating. This test is used to detect diabetes or prediabetes. Use this varaible when it is uncertain if speciman is plasma or capillary.,[],float64,continuous,"[1.0, 500.0]",[],"[70.0, 100.0]",[],mg/dL,labs,,high,,Dense fill with fasting_plasma_glucose,,1
fasting_insulin,fasting_insulin,Fasting Insulin,Fasting insulin blood test in units of μU/mL. This test is used to detect diabetes or prediabetes. ,[],float64,continuous,[],[],"[2.6, 24.9]",[],μU/mL,labs,,outer,,,,1
fasting_plasma_glucose,fasting_plasma_glucose,Fasting Plasma Glucose,Fasting plasma glucose (FPG) test in units of mg/dL. Measures plasma glucose after at least 8 hours without eating. This test is used to detect diabetes or prediabetes. ,[],float64,continuous,"[1.0, 500.0]",[],"[100.0, 125.0]",[],mg/dL,labs,,high,,,,1
hemoglobin,hemoglobin,Hemoglobin (Hgb),Part of the Complete Blood Count (CBC) test. Hemoglobin is a protein in red blood cells that carries oxygen from your lungs to the rest of your body.,"[""longitudinal"", ""baseline""]",float64,continuous,"[50.0, 250.0]",[],"[120.0, 170.0]",[],g/L,labs,,outer,,,,1
hemoglobin_a1c,hemoglobin_a1c,Hemoglobin A1C,"Hemoglobin A1C blood test in units of %. Meaures average blood glucose over the past 2 to 3 months. Also known as hemoglobin HbA1C, glycated hemoglobin, and glycosylated hemoglobin test.",[],float64,continuous,"[2.0, 15.0]",[],"[2.0, 6.5]",[],%,labs,,high,,,,1
free_fatty_acids,free_fatty_acids,Free Fatty Acids,Free fatty acids blood test in units of mmol/L.,[],float64,continuous,[],[],"[0.1, 0.6]",[],mmol/L,labs,,outer,,,,1
chloride,chloride,Chloride,Chloride blood (serum) test in units of mmol/L. Part of a Comprehensive Metabolic Panel (CMP). Measures electrolytes influencing fluid retention and acid balance. Chloride helps to monitor body's fluid level or acid-base balance distribution.,"[""longitudinal"", ""baseline""]",float64,continuous,"[70.0, 115.0]",[],"[98.0, 106.0]",[],mmol/L,labs,,outer,,,,1
calcium,calcium,Calcium,"Calcium blood (serum) test in units of mmol/L. Part of a Comprehensive Metabolic Panel (CMP). Measures a key mineral. It is important for heart function, and helps with muscle contraction, nerve signaling, and blood clotting.","[""longitudinal"", ""baseline""]",float64,continuous,"[1.0, 5.0]",[],"[2.1, 2.6]",[],mmol/L,labs,,outer,,,,1
potassium,potassium,Potassium,Potassium blood test in units of mmol/L. Part of a Comprehensive Metabolic Panel (CMP). Measures electrolytes influencing fluid retention and acid balance.,"[""longitudinal"", ""baseline""]",float64,continuous,"[2.0, 10.0]",[],"[3.5, 5.0]",[],mmol/L,labs,,outer,,,,1
sodium,sodium,Sodium,Sodium blood test in units of mmol/L. Part of a Comprehensive Metabolic Panel (CMP). Measures electrolytes influencing fluid retention and acid balance.,"[""longitudinal"", ""baseline""]",float64,continuous,"[120.0, 160.0]",[],"[136.0, 145.0]",[],mmol/L,labs,,outer,,,,1
total_bilirubin,total_bilirubin,Total Bilirubin,Total bilirubin blood test in units of mg/dL. Part of a Comprehensive Metabolic Panel (CMP). Measures liver function (waste product).,"[""longitudinal"", ""baseline""]",float64,continuous,"[0.1, 4.0]",[],"[0.3, 1.2]",[],mg/dL,labs,,outer,,,,1
total_protein,total_protein,Total Protein,Total protein blood test in units of g/L. Part of a Comprehensive Metabolic Panel (CMP).,"[""longitudinal"", ""baseline""]",float64,continuous,"[30, 170]",[],"[60, 83]",[],g/L,labs,,high,,https://www.mountsinai.org/health-library/tests/total-protein,,1
lactate_dehydrogenase,lactate_dehydrogenase,Lactate Dehydrogenase,"Lactate dehydrogenase blood (serum) test in units of U/L. Lactate dehydrogenase (LDH) is a protein that helps produce energy in the body. LDH is most often measured to check for tissue damage. LDH is in many body tissues, especially the heart, liver, kidney, muscles, brain, blood cells, and lungs.","[""longitudinal"", ""baseline""]",float64,continuous,"[100.0, 1000.0]",[],"[105.0, 333.0]",[],U/L,labs,,high,,,,1
uric_acid,uric_acid,Uric Acid,Uric acid lab test using serum sample in units of mg/dL.,"[""longitudinal"", ""baseline""]",float64,continuous,"[10.0, 1000.0]",[],"[2.4, 7.0]",[],mg/dL,labs,,high,,https://www.ucsfhealth.org/medical-tests/uric-acid-urine-test,,1
uric_acid_urine,uric_acid_urine,Uric Acid (Urine),Uric acid lab test from urine in units of mg per 24-hours.,[],float64,continuous,"[10.0, 1000.0]",[],"[250.0, 750.0]",[],mg/24h,labs,,high,,https://www.ucsfhealth.org/medical-tests/uric-acid-urine-test,,1
history_obesity,history_obesity,History of Obesity,Whether a participant has a medical history of obesity as defined by BMI greater than 30 kilograms per meters squared.,[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Obesity"", ""1.0"": ""History of Obesity""}",high,,,,1
history_hypertension,history_hypertension,History of Hypertension,Whether a participant has a medical history of hypertension. Includes hypertension and high blood pressure.,[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Hypertension"", ""1.0"": ""History of Hypertension""}",high,,,,
history_type2_diabetes,history_type2_diabetes,History of Type II Diabetes,"Whether a participant has a medical history of type II diabetes. Includes type 2 diabetes (T2DM), T2D, and diabetes mellitus.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Type II Diabetes"", ""1.0"": ""History of Type II Diabetes""}",high,,,,
history_stroke,history_stroke,History of Stroke,Whether a participant has a medical history of acute ischemic stroke or hemorrhagic stroke. Does not include transient ischemic attack (TIA) ,[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Stroke"", ""1.0"": ""History of Stroke""}",high,,,,
history_mi,history_mi,History of Myocardial Infarction,"Whether a participant has a medical history of myocardial infarction (MI). Includes myocardial infarction (MI), ST elevation myocardial infarction (STEMI), and non-ST elevation myocardial infarction (NSTEMI).  Also known as heart attack. Excludes angina.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of MI"", ""1.0"": ""History of MI""}",high,,,,
history_dyslipidemia,history_dyslipidemia,History of Dyslipidemia,"Whether a participant has a medical history of hyperlipidemia. Includes hyperlipidemia, hypercholesterolemia, hypertriglyceridemia, and high cholesterol.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Dyslipidemia"", ""1.0"": ""History of Dyslipidemia""}",high,,,,
history_cardiovascular_disease,history_cvd,History of Cardiovascular Disease (unspecified),"Whether a participant has a medical history of any type of cardiovascular disease (CVD). Only use this variable if not specify what type of CVD it is. Includes cardiovascular disease (CVD), arrythmia, valve disease, coronary artery disease (CAD), peripheral artery disease (PAD), heart failure, congenital heart disease, atherosclerosis, and vascular disease.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Cardiovascular Disease"", ""1.0"": ""History of Cardiovascular Disease""}",high,,,,
history_congestive_heart_failure,history_chf,History of Congestive Heart Failure,"Whether a participant has a medical history of congestive heart failure (CHF). Includes congestive heart failure (CHF), cardiac failure, heart failure with preserved ejection fraction (HFpEF), heart failure with reduced ejection fraction (HFrEF).",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Congestive Heart Failure"", ""1.0"": ""History of Congestive Heart Failure""}",high,,,,
history_ischemic_heart_disease,history_ihd,History of Ischemic Heart Disease,Whether a participant has a medical history of ischemic heart disease. Includes ischemic heart disease (including ischemic dilated cardiomyopathy) and coronary heart disease (CHD),[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of CHD"", ""1.0"": ""History of CHD""}",high,,,,
history_copd,history_copd,History of COPD,"Whether a participant has a medical history of chronic obstructive pulmonary disease (COPD). Includes chronic obstructive pulmonary disease (COPD), emphysema, and chronic bronchitis.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of COPD"", ""1.0"": ""History of COPD""}",high,,,,
history_asthma,history_asthma,History of asthma,Whether a participant has a medical history of asthma.,[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of asthma"", ""1.0"": ""History of sthma""}",high,,,,
history_pulm_embolism,history_pulm_embolism,History of Pulmonary Embolism,"Whether a participant has a medical history of pulmonary embolism (PE). Includes pulomonary embolism (PE), acute right ventricular failure, and pulmonary infarction.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of PE"", ""1.0"": ""History of PE""}",high,,,,
history_respiratory,history_respiratory,History of Respiratory,"Whether a participant has a medical history of respiratory disorders. Includes chronic obstructive pulmonary disease (COPD), asthma, pulmonary hypertension, respiratory infection, bronchitis, emphysema, cystic fibrosis, pulmonary fibrosis, pneumonia, and pleural effusion.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Respiratory"", ""1.0"": ""History of Respiratory""}",high,,,,
history_lung_transplant,history_lung_transplant,History of lung transplant,Whether a patient had lung transplant.,[],int,binary,[],"[0, 1]",[],[0],,medical history,,,,,1,
history_acs,history_acs,History of Acute Coronary Syndromes,"Whether a participant has a medical history of acute coronary syndromes (ACS). Includes acute coronary syndrome (ACS), ST-elevation myocardial infarction (STEMI), non-ST elevation myocardial infarction (NSTEMI), and unstable angina.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of Atrial Fibrillation"", ""1.0"": ""History of Atrial Fibrillation""}",high,,,,
history_atrial_fibrillation,history_atrial_fibr,History of Atrial Fibrillation,"Whether a participant has a medical history of of atrial fibrillation. Includes atrial fibrillation, AFib, a-fib, and A fib.",[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of ACS"", ""1.0"": ""History of ACS""}",high,,,,
history_cabg,history_cabg,History of percutaneous coronary intervention,Whether a participant had a prior coronary artery bypass graft procedure,[],int,binary,[],"[0, 1]",[],[0],,medical history,"{""0.0"": ""No History of CABG"", ""1.0"": ""History of CABG""}",high,,,,
